"day","month","year","hour","minute","second","satellites","latitude","longitude","altitude","time_offset","accuracy","voltage","colony_code","bird_id","dttm","deploy_year"
9,5,20,2,13,0,5,42.810297,16.832198,58,1.96,1.42085e-07,4.06,"VM","20_Tag17717_VM-8",2020-05-09 02:13:00,2020
9,5,20,2,32,58,6,42.837257,16.787038,-11.5,2.03,1.038349e-06,4.06,"VM","20_Tag17717_VM-8",2020-05-09 02:32:58,2020
9,5,20,2,53,3,4,42.846535,16.757203,-11,2.175,1.52422e-07,4.04,"VM","20_Tag17717_VM-8",2020-05-09 02:53:03,2020
9,5,20,3,12,58,5,42.847717,16.753555,94.5,2.12,2.19761e-07,4.06,"VM","20_Tag17717_VM-8",2020-05-09 03:12:58,2020
9,5,20,3,33,1,5,42.909143,16.620914,32,1.985,1.577516e-06,4.06,"VM","20_Tag17717_VM-8",2020-05-09 03:33:01,2020
9,5,20,3,52,54,6,42.926629,16.599411,45.75,1.94,7.517952e-06,4.06,"VM","20_Tag17717_VM-8",2020-05-09 03:52:54,2020
9,5,20,4,12,54,6,42.964471,16.569856,23.5,1.91,3.765387e-06,4.04,"VM","20_Tag17717_VM-8",2020-05-09 04:12:54,2020
9,5,20,4,32,54,6,43.031022,16.54512,-45,1.915,4.968899e-06,4.04,"VM","20_Tag17717_VM-8",2020-05-09 04:32:54,2020
9,5,20,4,52,59,5,43.023335,16.543437,41,1.92,1.727991e-06,4.06,"VM","20_Tag17717_VM-8",2020-05-09 04:52:59,2020
9,5,20,5,12,59,5,43.023129,16.541892,-40.25,1.875,1.369316e-06,4.06,"VM","20_Tag17717_VM-8",2020-05-09 05:12:59,2020
9,5,20,5,32,58,7,42.993817,16.523975,18.75,1.92,4.423036e-06,4.04,"VM","20_Tag17717_VM-8",2020-05-09 05:32:58,2020
9,5,20,5,52,56,6,42.94504,16.491552,26.75,2,2.263354e-06,4.06,"VM","20_Tag17717_VM-8",2020-05-09 05:52:56,2020
9,5,20,6,12,51,6,42.946522,16.492034,6,1.95,1.579418e-06,4.04,"VM","20_Tag17717_VM-8",2020-05-09 06:12:51,2020
9,5,20,6,32,51,6,42.946795,16.490057,21.25,1.965,1.019207e-06,4.06,"VM","20_Tag17717_VM-8",2020-05-09 06:32:51,2020
9,5,20,6,52,54,7,42.950539,16.502696,20,1.99,3.531974e-06,4.06,"VM","20_Tag17717_VM-8",2020-05-09 06:52:54,2020
9,5,20,7,12,49,6,42.949594,16.501272,48,1.93,8.43728e-07,4.06,"VM","20_Tag17717_VM-8",2020-05-09 07:12:49,2020
9,5,20,7,32,49,6,42.945985,16.507286,22.75,1.96,1.84308e-06,4.04,"VM","20_Tag17717_VM-8",2020-05-09 07:32:49,2020
9,5,20,7,52,49,6,42.948156,16.507808,18,1.99,1.3535e-06,4.04,"VM","20_Tag17717_VM-8",2020-05-09 07:52:49,2020
9,5,20,8,12,47,6,42.948764,16.506653,29.75,1.91,2.990686e-06,4.06,"VM","20_Tag17717_VM-8",2020-05-09 08:12:47,2020
9,5,20,8,32,47,6,42.954325,16.510513,50.5,1.91,1.30036e-06,4.04,"VM","20_Tag17717_VM-8",2020-05-09 08:32:47,2020
9,5,20,8,53,52,6,42.954402,16.513373,32.5,1.715,2.575821e-06,4.06,"VM","20_Tag17717_VM-8",2020-05-09 08:53:52,2020
