"day","month","year","hour","minute","second","satellites","latitude","longitude","altitude","time_offset","accuracy","voltage","colony_code","bird_id","dttm","deploy_year"
8,5,20,18,55,32,6,42.774011,16.873015,60.75,2.88,1.964678e-06,4.16,"VM","20_Tag40014_VM-3 (2nd Parent)",2020-05-08 18:55:32,2020
8,5,20,20,55,38,6,42.779313,16.829679,87.75,2.705,8.02626e-07,4.14,"VM","20_Tag40014_VM-3 (2nd Parent)",2020-05-08 20:55:38,2020
9,5,20,0,55,36,6,42.800457,16.819044,47.75,2.595,4.216973e-06,4.12,"VM","20_Tag40014_VM-3 (2nd Parent)",2020-05-09 00:55:36,2020
9,5,20,1,15,32,5,42.812236,16.798626,55.25,2.595,4.79187e-07,4.14,"VM","20_Tag40014_VM-3 (2nd Parent)",2020-05-09 01:15:32,2020
9,5,20,1,35,32,6,42.812682,16.798448,28.25,2.73,6.296753e-06,4.12,"VM","20_Tag40014_VM-3 (2nd Parent)",2020-05-09 01:35:32,2020
9,5,20,1,55,36,5,42.813849,16.796737,37.75,2.775,9.30162e-07,4.12,"VM","20_Tag40014_VM-3 (2nd Parent)",2020-05-09 01:55:36,2020
9,5,20,2,15,34,8,42.816715,16.795427,46,2.665,1.293597e-06,4.14,"VM","20_Tag40014_VM-3 (2nd Parent)",2020-05-09 02:15:34,2020
9,5,20,2,35,34,5,42.870672,16.726791,56.75,2.815,1.898533e-06,4.14,"VM","20_Tag40014_VM-3 (2nd Parent)",2020-05-09 02:35:34,2020
9,5,20,2,55,38,4,42.869474,16.721195,56,2.895,2.99705e-07,4.14,"VM","20_Tag40014_VM-3 (2nd Parent)",2020-05-09 02:55:38,2020
9,5,20,3,15,35,6,42.871172,16.717199,45,2.67,2.46579e-06,4.14,"VM","20_Tag40014_VM-3 (2nd Parent)",2020-05-09 03:15:35,2020
9,5,20,3,35,35,6,42.933834,16.556689,66,2.605,1.778476e-06,4.14,"VM","20_Tag40014_VM-3 (2nd Parent)",2020-05-09 03:35:35,2020
9,5,20,3,56,11,7,42.946532,16.558374,46.5,2.445,6.04888e-06,4.14,"VM","20_Tag40014_VM-3 (2nd Parent)",2020-05-09 03:56:11,2020
9,5,20,4,16,10,6,42.981197,16.54789,38.5,2.345,3.165928e-06,4.14,"VM","20_Tag40014_VM-3 (2nd Parent)",2020-05-09 04:16:10,2020
9,5,20,4,36,15,5,43.056201,16.569474,4.5,2.6,3.20834e-06,4.14,"VM","20_Tag40014_VM-3 (2nd Parent)",2020-05-09 04:36:15,2020
9,5,20,4,56,9,7,42.94326,16.577316,16.5,2.735,4.065757e-06,4.14,"VM","20_Tag40014_VM-3 (2nd Parent)",2020-05-09 04:56:09,2020
