"day","month","year","hour","minute","second","satellites","latitude","longitude","altitude","time_offset","accuracy","voltage","colony_code","bird_id","dttm","deploy_year"
26,5,19,0,44,11,7,42.848041,16.907248,60.75,1.5,4.486398e-06,4.12,"Z","19_Tag40086_Z-11 (2nd Parent)",2019-05-26 00:44:11,2019
26,5,19,1,4,17,4,42.849937,16.954943,60,1.335,9.30464e-07,4.12,"Z","19_Tag40086_Z-11 (2nd Parent)",2019-05-26 01:04:17,2019
26,5,19,1,24,14,6,42.852545,16.948406,40.25,1.265,8.475737e-06,4.12,"Z","19_Tag40086_Z-11 (2nd Parent)",2019-05-26 01:24:14,2019
26,5,19,1,44,12,6,42.852288,16.944756,66,1.43,2.470958e-06,4.1,"Z","19_Tag40086_Z-11 (2nd Parent)",2019-05-26 01:44:12,2019
26,5,19,2,4,11,5,42.851816,16.941722,29.5,1.47,6.135243e-06,4.1,"Z","19_Tag40086_Z-11 (2nd Parent)",2019-05-26 02:04:11,2019
26,5,19,2,24,16,4,42.85195,16.938138,29,1.41,7.78289e-07,4.12,"Z","19_Tag40086_Z-11 (2nd Parent)",2019-05-26 02:24:16,2019
26,5,19,2,44,11,5,42.851849,16.934871,36.25,1.41,7.61399e-07,4.12,"Z","19_Tag40086_Z-11 (2nd Parent)",2019-05-26 02:44:11,2019
26,5,19,3,4,10,5,42.853876,16.931414,44.5,1.385,4.2843e-07,4.12,"Z","19_Tag40086_Z-11 (2nd Parent)",2019-05-26 03:04:10,2019
26,5,19,3,24,9,5,42.909344,16.973951,53.75,1.375,1.770185e-06,4.12,"Z","19_Tag40086_Z-11 (2nd Parent)",2019-05-26 03:24:09,2019
26,5,19,3,44,9,6,42.897006,17.109694,33,1.42,4.508442e-06,4.12,"Z","19_Tag40086_Z-11 (2nd Parent)",2019-05-26 03:44:09,2019
26,5,19,4,4,14,6,42.9002,17.157002,46.5,1.37,1.053381e-06,4.12,"Z","19_Tag40086_Z-11 (2nd Parent)",2019-05-26 04:04:14,2019
26,5,19,4,25,55,5,42.892334,17.150922,12,1.45,4.219229e-06,4.1,"Z","19_Tag40086_Z-11 (2nd Parent)",2019-05-26 04:25:55,2019
26,5,19,5,0,15,6,42.891171,17.15181,18,1.575,4.14692e-07,4.12,"Z","19_Tag40086_Z-11 (2nd Parent)",2019-05-26 05:00:15,2019
26,5,19,5,25,22,6,42.871391,17.171357,54.5,1.45,2.216101e-06,4.12,"Z","19_Tag40086_Z-11 (2nd Parent)",2019-05-26 05:25:22,2019
26,5,19,7,47,16,6,42.911314,17.242121,33.25,1.15,3.112003e-06,4.08,"Z","19_Tag40086_Z-11 (2nd Parent)",2019-05-26 07:47:16,2019
26,5,19,8,43,48,6,42.905753,17.197886,25.5,1.16,3.34034e-06,4.1,"Z","19_Tag40086_Z-11 (2nd Parent)",2019-05-26 08:43:48,2019
26,5,19,9,14,33,7,42.911833,17.22238,13.5,1.225,3.748936e-06,4.12,"Z","19_Tag40086_Z-11 (2nd Parent)",2019-05-26 09:14:33,2019
