"day","month","year","hour","minute","second","satellites","latitude","longitude","altitude","time_offset","accuracy","voltage","colony_code","bird_id","dttm","deploy_year"
5,5,19,18,39,51,6,42.775501,16.87587,93.5,1.635,5.913135e-06,4.14,"Z","19_Tag40133_Z-15",2019-05-05 18:39:51,2019
5,5,19,22,19,43,5,42.775566,16.876022,22.75,1.595,1.14388e-07,4.12,"Z","19_Tag40133_Z-15",2019-05-05 22:19:43,2019
5,5,19,22,59,45,5,42.775527,16.876006,55.5,1.65,6.87024e-07,4.1,"Z","19_Tag40133_Z-15",2019-05-05 22:59:45,2019
6,5,19,0,59,51,5,42.781279,16.875104,48,1.5,2.62166e-07,4.08,"Z","19_Tag40133_Z-15",2019-05-06 00:59:51,2019
6,5,19,1,19,50,5,42.82064,16.828749,20,1.525,5.69561e-07,4.08,"Z","19_Tag40133_Z-15",2019-05-06 01:19:50,2019
6,5,19,1,39,48,6,42.821655,16.827883,30.5,1.895,2.67135e-06,4.08,"Z","19_Tag40133_Z-15",2019-05-06 01:39:48,2019
6,5,19,1,59,51,4,42.823274,16.824289,30,1.99,5.70928e-07,4.1,"Z","19_Tag40133_Z-15",2019-05-06 01:59:51,2019
6,5,19,2,19,47,7,42.820382,16.822235,41.5,1.83,4.966913e-06,4.08,"Z","19_Tag40133_Z-15",2019-05-06 02:19:47,2019
6,5,19,2,39,48,5,42.82233,16.814971,98.25,1.81,1.101717e-06,4.1,"Z","19_Tag40133_Z-15",2019-05-06 02:39:48,2019
6,5,19,2,59,44,5,42.815514,16.814262,64.5,1.9,4.715689e-06,4.1,"Z","19_Tag40133_Z-15",2019-05-06 02:59:44,2019
6,5,19,3,19,44,5,42.814688,16.810841,-399.5,1.915,6.167107e-06,4.1,"Z","19_Tag40133_Z-15",2019-05-06 03:19:44,2019
6,5,19,3,39,42,5,42.807742,16.770349,29,1.88,4.021929e-06,4.1,"Z","19_Tag40133_Z-15",2019-05-06 03:39:42,2019
6,5,19,3,59,41,5,42.820712,16.826158,47.75,1.835,4.27893e-07,4.1,"Z","19_Tag40133_Z-15",2019-05-06 03:59:41,2019
6,5,19,4,22,44,5,42.791991,16.88837,17,1.76,2.026321e-06,4.1,"Z","19_Tag40133_Z-15",2019-05-06 04:22:44,2019
6,5,19,4,56,7,5,42.781033,16.886361,48.75,1.82,1.01454e-07,4.1,"Z","19_Tag40133_Z-15",2019-05-06 04:56:07,2019
6,5,19,5,33,6,4,42.787568,16.880317,48,2.225,9.13584e-07,4.1,"Z","19_Tag40133_Z-15",2019-05-06 05:33:06,2019
6,5,19,5,59,24,6,42.835564,16.868256,51.5,2.555,1.002747e-06,4.1,"Z","19_Tag40133_Z-15",2019-05-06 05:59:24,2019
6,5,19,6,47,2,6,42.825006,16.872645,23,2.475,1.885229e-06,4.08,"Z","19_Tag40133_Z-15",2019-05-06 06:47:02,2019
